Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
North Carolina,10386227,605299,626765,669516,689913,697961,720828,669998,652716,651874,688885,683046,691841,649231,567045,444971,296887,189192,190259,8084631,38.9,94.7,62.4,26.4,36,5052667,309831,319315,342054,350064,362734,360429,329037,317622,318257,335840,332523,331297,304548,262307,202544,131635,76439,66191,3878705,37.4,,,,,,6.1,6.3,6.8,6.9,7.2,7.1,6.5,6.3,6.3,6.6,6.6,6.6,6,5.2,4,2.6,1.5,1.3,76.8,,,,,,5333560,295468,307450,327462,339849,335227,360399,340961,335094,333617,353045,350523,360544,344683,304738,242427,165252,112753,124068,4205926,40.4,,,,,,5.5,5.8,6.1,6.4,6.3,6.8,6.4,6.3,6.3,6.6,6.6,6.8,6.5,5.7,4.5,3.1,2.1,2.3,78.9,,,,,
North Dakota,760394,53408,50371,47837,47973,63280,60455,55001,48616,41968,39175,41668,48052,46184,38071,26029,19609,14913,17784,582365,35.2,104.9,63.2,25,38.2,389284,27552,25687,24823,25132,33237,32539,29897,25341,22294,20401,21441,24207,23439,19066,12794,8894,5929,6611,297945,34.3,,,,,,7.1,6.6,6.4,6.5,8.5,8.4,7.7,6.5,5.7,5.2,5.5,6.2,6,4.9,3.3,2.3,1.5,1.7,76.5,,,,,,371110,25856,24684,23014,22841,30043,27916,25104,23275,19674,18774,20227,23845,22745,19005,13235,10715,8984,11173,284420,36.3,,,,,,7,6.7,6.2,6.2,8.1,7.5,6.8,6.3,5.3,5.1,5.5,6.4,6.1,5.1,3.6,2.9,2.4,3,76.6,,,,,
Ohio,11675275,692983,701584,745426,763727,756589,796104,743150,713647,682186,726013,757827,826243,779175,663994,490012,345380,230586,260649,9081287,39.5,96.1,64.7,28.1,36.6,5721796,354351,359829,380085,390563,384703,403419,372836,354798,338610,358744,373587,403605,372900,313647,225434,150477,93881,90327,4395027,38,,,,,,6.2,6.3,6.6,6.8,6.7,7.1,6.5,6.2,5.9,6.3,6.5,7.1,6.5,5.5,3.9,2.6,1.6,1.6,76.8,,,,,,5953479,338632,341755,365341,373164,371886,392685,370314,358849,343576,367269,384240,422638,406275,350347,264578,194903,136705,170322,4686260,40.9,,,,,,5.7,5.7,6.1,6.3,6.2,6.6,6.2,6,5.8,6.2,6.5,7.1,6.8,5.9,4.4,3.3,2.3,2.9,78.7,,,,,
Oklahoma,3949342,259003,265409,273376,264649,275225,278620,266489,258868,234015,230707,231785,253943,238058,200863,159420,112541,76686,69685,2992972,36.7,98.2,66.4,26.1,40.3,1956617,132515,134977,139681,136661,142988,141871,135170,129148,118983,115520,114900,124014,114166,95253,73128,50538,32986,24118,1468003,35.5,,,,,,6.8,6.9,7.1,7,7.3,7.3,6.9,6.6,6.1,5.9,5.9,6.3,5.8,4.9,3.7,2.6,1.7,1.2,75,,,,,,1992725,126488,130432,133695,127988,132237,136749,131319,129720,115032,115187,116885,129929,123892,105610,86292,62003,43700,45567,1524969,37.9,,,,,,6.3,6.5,6.7,6.4,6.6,6.9,6.6,6.5,5.8,5.8,5.9,6.5,6.2,5.3,4.3,3.1,2.2,2.3,76.5,,,,,
Oregon,4176346,228314,240173,250253,246976,265800,298071,296571,289833,269574,262433,250830,264789,277797,259236,187882,122514,77278,88022,3309270,39.5,98.3,62.2,28.5,33.7,2070627,117162,122686,128766,126673,135494,151719,150781,145449,136916,132121,125330,129633,131469,123069,88813,56210,34443,33893,1625930,38.5,,,,,,5.7,5.9,6.2,6.1,6.5,7.3,7.3,7,6.6,6.4,6.1,6.3,6.3,5.9,4.3,2.7,1.7,1.6,78.5,,,,,,2105719,111152,117487,121487,120303,130306,146352,145790,144384,132658,130312,125500,135156,146328,136167,99069,66304,42835,54129,1683340,40.6,,,,,,5.3,5.6,5.8,5.7,6.2,7,6.9,6.9,6.3,6.2,6,6.4,6.9,6.5,4.7,3.1,2,2.6,79.9,,,,,
Pennsylvania,12794885,702231,717096,763272,810436,811852,861467,832349,768657,734107,794890,856709,920735,885980,751747,566107,399666,279815,337769,10145303,40.9,96.1,63.8,29.9,33.9,6269142,359858,363266,393558,413052,412045,440585,421899,384364,366324,394129,421535,449436,427486,358010,259928,175280,113161,115226,4912920,39.3,,,,,,5.7,5.8,6.3,6.6,6.6,7,6.7,6.1,5.8,6.3,6.7,7.2,6.8,5.7,4.1,2.8,1.8,1.8,78.4,,,,,,6525743,342373,353830,369714,397384,399807,420882,410450,384293,367783,400761,435174,471299,458494,393737,306179,224386,166654,222543,5232383,42.5,,,,,,5.2,5.4,5.7,6.1,6.1,6.4,6.3,5.9,5.6,6.1,6.7,7.2,7,6,4.7,3.4,2.6,3.4,80.2,,,,,
Rhode Island,1057798,54688,54737,59152,72211,75640,75839,70958,65814,58150,65735,73595,75847,72946,58607,44800,31488,21560,26031,852354,40,94.7,57.9,27.2,30.7,514524,27985,27475,30918,35616,38223,38972,35865,32466,29286,31937,35743,36273,34805,27764,20624,14063,8451,8058,409342,38.3,,,,,,5.4,5.3,6,6.9,7.4,7.6,7,6.3,5.7,6.2,6.9,7,6.8,5.4,4,2.7,1.6,1.6,79.6,,,,,,543274,26703,27262,28234,36595,37417,36867,35093,33348,28864,33798,37852,39574,38141,30843,24176,17425,13109,17973,443012,41.6,,,,,,4.9,5,5.2,6.7,6.9,6.8,6.5,6.1,5.3,6.2,7,7.3,7,5.7,4.5,3.2,2.4,3.3,81.5,,,,,
South Carolina,5091517,291651,305738,321581,329239,330682,347963,322548,316636,299848,317173,328256,341047,338459,306839,245070,162863,99399,86525,3982912,39.7,94.1,65.2,29.2,36,2468682,149213,154730,165079,169826,169754,172082,157674,153156,146825,153227,158110,161882,156511,140086,114449,72510,43249,30319,1902834,38,,,,,,6,6.3,6.7,6.9,6.9,7,6.4,6.2,5.9,6.2,6.4,6.6,6.3,5.7,4.6,2.9,1.8,1.2,77.1,,,,,,2622835,142438,151008,156502,159413,160928,175881,164874,163480,153023,163946,170146,179165,181948,166753,130621,90353,56150,56206,2080078,41.1,,,,,,5.4,5.8,6,6.1,6.1,6.7,6.3,6.2,5.8,6.3,6.5,6.8,6.9,6.4,5,3.4,2.1,2.1,79.3,,,,,
South Dakota,879336,60019,61397,60099,58367,59210,57849,57371,56961,47380,46808,50306,58634,58104,49918,35593,23575,17336,20409,663589,37.2,101.5,70.2,28.4,41.8,442948,30408,31359,30555,30351,30263,30689,29794,29946,24160,23962,25287,28824,29217,25498,17215,10813,7471,7136,332951,36.3,,,,,,6.9,7.1,6.9,6.9,6.8,6.9,6.7,6.8,5.5,5.4,5.7,6.5,6.6,5.8,3.9,2.4,1.7,1.6,75.2,,,,,,436388,29611,30038,29544,28016,28947,27160,27577,27015,23220,22846,25019,29810,28887,24420,18378,12762,9865,13273,330638,38.2,,,,,,6.8,6.9,6.8,6.4,6.6,6.2,6.3,6.2,5.3,5.2,5.7,6.8,6.6,5.6,4.2,2.9,2.3,3,75.8,,,,,
Tennessee,6772268,406986,407267,435892,426381,445895,487887,443958,432531,411137,438143,442206,453526,432895,371391,291262,198338,125690,120883,5264378,38.8,95.3,62.9,26.6,36.3,3304462,208551,208045,222622,218520,224350,243857,219559,212899,203524,215578,215875,214880,206903,175917,132136,88775,51590,40881,2533438,37.5,,,,,,6.3,6.3,6.7,6.6,6.8,7.4,6.6,6.4,6.2,6.5,6.5,6.5,6.3,5.3,4,2.7,1.6,1.2,76.7,,,,,,3467806,198435,199222,213270,207861,221545,244030,224399,219632,207613,222565,226331,238646,225992,195474,159126,109563,74100,80002,2730940,40.1,,,,,,5.7,5.7,6.1,6,6.4,7,6.5,6.3,6,6.4,6.5,6.9,6.5,5.6,4.6,3.2,2.1,2.3,78.8,,,,,
Texas,28635442,1997007,2016752,2130618,2040331,2000883,2130985,2079503,2001878,1886166,1828863,1714104,1702570,1512413,1243923,922940,618302,401093,407111,21253960,34.8,98.7,62.1,20.3,41.8,14221720,1020529,1026859,1088140,1044454,1030149,1086864,1054435,1004581,944938,907309,849686,834856,725353,586826,424348,275774,169874,146745,10456881,33.9,,,,,,7.2,7.2,7.7,7.3,7.2,7.6,7.4,7.1,6.6,6.4,6,5.9,5.1,4.1,3,1.9,1.2,1,73.5,,,,,,14413722,976478,989893,1042478,995877,970734,1044121,1025068,997297,941228,921554,864418,867714,787060,657097,498592,342528,231219,260366,10797079,35.8,,,,,,6.8,6.9,7.2,6.9,6.7,7.2,7.1,6.9,6.5,6.4,6,6,5.5,4.6,3.5,2.4,1.6,1.8,74.9,,,,,
Utah,3151239,248602,262299,263035,248689,260142,244528,220309,230062,202497,172373,151020,152927,145746,120407,89637,59801,42926,36239,2223670,31.1,101.4,68.1,18.6,49.5,1586950,127589,133443,136407,126481,133430,125816,111648,117902,102198,87518,75575,75762,70741,58623,42185,27918,18638,15076,1110602,30.4,,,,,,8,8.4,8.6,8,8.4,7.9,7,7.4,6.4,5.5,4.8,4.8,4.5,3.7,2.7,1.8,1.2,0.9,70,,,,,,1564289,121013,128856,126628,122208,126712,118712,108661,112160,100299,84855,75445,77165,75005,61784,47452,31883,24288,21163,1113068,31.8,,,,,,7.7,8.2,8.1,7.8,8.1,7.6,6.9,7.2,6.4,5.4,4.8,4.9,4.8,3.9,3,2,1.6,1.4,71.2,,,,,
Vermont,624340,29038,31979,33287,42255,45692,37764,36441,36234,34595,37960,42625,47190,48408,41633,31766,20876,12764,13833,508708,42.8,97.6,61,31.2,29.8,308441,15110,16626,17157,21771,23654,19283,18329,18072,16941,18697,20697,23048,23646,20032,15375,9428,5777,4798,248625,41.1,,,,,,4.9,5.4,5.6,7.1,7.7,6.3,5.9,5.9,5.5,6.1,6.7,7.5,7.7,6.5,5,3.1,1.9,1.6,80.6,,,,,,315899,13928,15353,16130,20484,22038,18481,18112,18162,17654,19263,21928,24142,24762,21601,16391,11448,6987,9035,260083,44.3,,,,,,4.4,4.9,5.1,6.5,7,5.9,5.7,5.7,5.6,6.1,6.9,7.6,7.8,6.8,5.2,3.6,2.2,2.9,82.3,,,,,
Virginia,8509358,508122,512328,531849,552067,573043,595787,585122,576374,534035,553415,569460,579377,524034,443243,336990,232346,153334,148432,6640761,38.4,96.8,59.8,24.7,35.1,4186543,260193,261593,271619,281631,297352,303018,294023,285725,267226,272814,277762,281366,249821,208844,153545,102506,63786,53719,3231233,37.1,,,,,,6.2,6.2,6.5,6.7,7.1,7.2,7,6.8,6.4,6.5,6.6,6.7,6,5,3.7,2.4,1.5,1.3,77.2,,,,,,4322815,247929,250735,260230,270436,275691,292769,291099,290649,266809,280601,291698,298011,274213,234399,183445,129840,89548,94713,3409528,39.7,,,,,,5.7,5.8,6,6.3,6.4,6.8,6.7,6.7,6.2,6.5,6.7,6.9,6.3,5.4,4.2,3,2.1,2.2,78.9,,,,,
Washington,7512465,454612,466264,461832,448114,481872,580547,566149,529679,474019,470188,463039,481184,474362,401146,305947,191489,124351,137671,5858996,37.8,100.1,59.9,24.7,35.2,3759007,233162,238529,235813,228773,252285,302992,291790,269881,240129,237409,231492,237619,229761,191833,143753,88211,55169,50406,2913529,36.7,,,,,,6.2,6.3,6.3,6.1,6.7,8.1,7.8,7.2,6.4,6.3,6.2,6.3,6.1,5.1,3.8,2.3,1.5,1.3,77.5,,,,,,3753458,221450,227735,226019,219341,229587,277555,274359,259798,233890,232779,231547,243565,244601,209313,162194,103278,69182,87265,2945467,38.8,,,,,,5.9,6.1,6,5.8,6.1,7.4,7.3,6.9,6.2,6.2,6.2,6.5,6.5,5.6,4.3,2.8,1.8,2.3,78.5,,,,,
West Virginia,1807426,95692,99993,105766,108625,113481,111330,103141,106231,110928,115509,118164,126218,132102,123153,90434,65427,40809,40423,1442209,42.7,97.8,67.1,33.3,33.8,893743,49003,50683,54587,56664,58420,57034,52268,54194,55174,57908,58738,60968,64541,59249,42982,30565,17366,13399,706753,41.3,,,,,,5.5,5.7,6.1,6.3,6.5,6.4,5.8,6.1,6.2,6.5,6.6,6.8,7.2,6.6,4.8,3.4,1.9,1.5,79.1,,,,,,913683,46689,49310,51179,51961,55061,54296,50873,52037,55754,57601,59426,65250,67561,63904,47452,34862,23443,27024,735456,44.1,,,,,,5.1,5.4,5.6,5.7,6,5.9,5.6,5.7,6.1,6.3,6.5,7.1,7.4,7,5.2,3.8,2.6,3,80.5,,,,,
Wisconsin,5806975,331066,350727,368898,377618,396548,371411,364148,371790,334353,350967,387482,429759,389409,327383,246354,160337,115496,133229,4532654,39.6,99.1,63.6,27.7,35.9,2889783,169682,178837,189763,192331,202126,191322,185214,189125,168078,176608,193509,211582,193470,160892,117053,73891,49768,46532,2237115,38.5,,,,,,5.9,6.2,6.6,6.7,7,6.6,6.4,6.5,5.8,6.1,6.7,7.3,6.7,5.6,4.1,2.6,1.7,1.6,77.4,,,,,,2917192,161384,171890,179135,185287,194422,180089,178934,182665,166275,174359,193973,218177,195939,166491,129301,86446,65728,86697,2295539,40.7,,,,,,5.5,5.9,6.1,6.4,6.7,6.2,6.1,6.3,5.7,6,6.6,7.5,6.7,5.7,4.4,3,2.3,3,78.7,,,,,
Wyoming,581348,35436,38926,38556,36630,38981,38816,39732,38733,34623,33016,33334,39328,39671,34006,24508,17030,10024,9998,446548,38,103.9,65.6,27.2,38.4,296280,18190,19920,19685,19316,20478,20435,20814,19724,18047,17030,16971,19789,19740,17177,12475,7768,4746,3975,227027,37.3,,,,,,6.1,6.7,6.6,6.5,6.9,6.9,7,6.7,6.1,5.7,5.7,6.7,6.7,5.8,4.2,2.6,1.6,1.3,76.6,,,,,,285068,17246,19006,18871,17314,18503,18381,18918,19009,16576,15986,16363,19539,19931,16829,12033,9262,5278,6023,219521,38.7,,,,,,6,6.7,6.6,6.1,6.5,6.4,6.6,6.7,5.8,5.6,5.7,6.9,7,5.9,4.2,3.2,1.9,2.1,77,,,,,
Puerto Rico,3255642,130964,162558,193912,211965,224949,219540,188607,194697,206148,208003,217952,215654,213487,191107,173644,130673,90327,81455,2644482,42.4,90.5,64.7,33.7,30.9,1546590,67252,82647,98498,108375,114134,108874,90846,91602,97960,98685,101226,100410,96146,87433,76791,57007,37425,31279,1234940,40.6,,,,,,4.3,5.3,6.4,7,7.4,7,5.9,5.9,6.3,6.4,6.5,6.5,6.2,5.7,5,3.7,2.4,2,79.8,,,,,,1709052,63712,79911,95414,103590,110815,110666,97761,103095,108188,109318,116726,115244,117341,103674,96853,73666,52902,50176,1409542,44.1,,,,,,3.7,4.7,5.6,6.1,6.5,6.5,5.7,6,6.3,6.4,6.8,6.7,6.9,6.1,5.7,4.3,3.1,2.9,82.5,,,,,
"Aberdeen, SD",42864,2740,2937,2965,2748,3087,2834,2726,2732,1946,2299,2464,2851,2877,2721,1481,1241,1103,1112,32613,37.7,97.9,71.8,30.7,41.1,21206,1380,1446,1408,1354,1514,1493,1422,1518,894,1182,1243,1469,1345,1406,755,544,488,345,16133,36.9,,,,,,6.5,6.8,6.6,6.4,7.1,7,6.7,7.2,4.2,5.6,5.9,6.9,6.3,6.6,3.6,2.6,2.3,1.6,76.1,,,,,,21658,1360,1491,1557,1394,1573,1341,1304,1214,1052,1117,1221,1382,1532,1315,726,697,615,767,16480,38.5,,,,,,6.3,6.9,7.2,6.4,7.3,6.2,6,5.6,4.9,5.2,5.6,6.4,7.1,6.1,3.4,3.2,2.8,3.5,76.1,,,,,
"Aberdeen, WA",73769,3874,4172,4355,4089,3549,4476,4354,4561,4013,4344,4539,5196,6257,5841,4131,2643,1862,1513,58812,44.3,105.5,72.3,37.3,34.9,37880,1868,2056,2363,2099,1977,2549,2384,2426,2174,2281,2379,2566,3157,2769,2072,1207,876,677,30275,42.6,,,,,,4.9,5.4,6.2,5.5,5.2,6.7,6.3,6.4,5.7,6,6.3,6.8,8.3,7.3,5.5,3.2,2.3,1.8,79.9,,,,,,35889,2006,2116,1992,1990,1572,1927,1970,2135,1839,2063,2160,2630,3100,3072,2059,1436,986,836,28537,45.8,,,,,,5.6,5.9,5.6,5.5,4.4,5.4,5.5,5.9,5.1,5.7,6,7.3,8.6,8.6,5.7,4,2.7,2.3,79.5,,,,,
"Abilene, TX",171354,11590,10679,11787,12145,16104,13621,12125,11178,9301,8353,9177,10169,9291,8157,6114,4604,3706,3253,130780,34.1,101.6,63.3,24.6,38.7,86368,5844,5646,5835,6090,8441,7535,6470,6096,4916,4198,4571,5273,4111,3683,2945,1856,1663,1195,65791,33,,,,,,6.8,6.5,6.8,7.1,9.8,8.7,7.5,7.1,5.7,4.9,5.3,6.1,4.8,4.3,3.4,2.1,1.9,1.4,76.2,,,,,,84986,5746,5033,5952,6055,7663,6086,5655,5082,4385,4155,4606,4896,5180,4474,3169,2748,2043,2058,64989,35.3,,,,,,6.8,5.9,7,7.1,9,7.2,6.7,6,5.2,4.9,5.4,5.8,6.1,5.3,3.7,3.2,2.4,2.4,76.5,,,,,
"Ada, OK",38385,2585,2601,2547,2683,3108,2751,2501,2253,2240,2101,2137,2057,2482,2067,1442,1209,926,695,29213,36,94.8,67.8,27.7,40.1,18680,1342,1295,1322,1334,1494,1382,1258,1134,1081,1046,1046,978,1183,925,667,474,487,232,14019,34.6,,,,,,7.2,6.9,7.1,7.1,8,7.4,6.7,6.1,5.8,5.6,5.6,5.2,6.3,5,3.6,2.5,2.6,1.2,75,,,,,,19705,1243,1306,1225,1349,1614,1369,1243,1119,1159,1055,1091,1079,1299,1142,775,735,439,463,15194,37.3,,,,,,6.3,6.6,6.2,6.8,8.2,6.9,6.3,5.7,5.9,5.4,5.5,5.5,6.6,5.8,3.9,3.7,2.2,2.3,77.1,,,,,
"Adrian, MI",98310,5315,5517,6045,6513,6432,5756,5495,5921,5696,6535,6455,6827,7319,6692,4434,3174,1966,2218,77571,42.1,102.2,66.4,31.3,35.1,49684,2740,2808,3200,3448,3445,3041,2886,3173,2995,3443,3251,3384,3581,3015,2226,1368,998,682,38904,40.2,,,,,,5.5,5.7,6.4,6.9,6.9,6.1,5.8,6.4,6,6.9,6.5,6.8,7.2,6.1,4.5,2.8,2,1.4,78.3,,,,,,48626,2575,2709,2845,3065,2987,2715,2609,2748,2701,3092,3204,3443,3738,3677,2208,1806,968,1536,38667,43.7,,,,,,5.3,5.6,5.9,6.3,6.1,5.6,5.4,5.7,5.6,6.4,6.6,7.1,7.7,7.6,4.5,3.7,2,3.2,79.5,,,,,
"Aguadilla-Isabela, PR",295172,11313,14001,18037,18766,19280,18808,16611,17549,18873,19008,20441,20021,20970,18117,17063,12238,7880,6196,240755,43.5,94.4,64.7,34.3,30.4,143342,5777,7345,9058,9656,9854,9519,8091,8262,9417,9185,9522,10073,9273,8397,8288,5757,3413,2455,115481,42.3,,,,,,4,5.1,6.3,6.7,6.9,6.6,5.6,5.8,6.6,6.4,6.6,7,6.5,5.9,5.8,4,2.4,1.7,80.6,,,,,,151830,5536,6656,8979,9110,9426,9289,8520,9287,9456,9823,10919,9948,11697,9720,8775,6481,4467,3741,125274,44.8,,,,,,3.6,4.4,5.9,6,6.2,6.1,5.6,6.1,6.2,6.5,7.2,6.6,7.7,6.4,5.8,4.3,2.9,2.5,82.5,,,,,
"Akron, OH",703286,37791,38835,41127,46546,51424,47928,42959,42227,38164,43953,47512,51488,49566,41383,30863,20754,13466,17300,559541,40.3,94.6,61.4,28.4,33,341916,19346,20375,20236,23394,25494,24309,21479,20576,19066,21518,23047,25528,23032,19688,13967,9225,5755,5881,268679,39,,,,,,5.7,6,5.9,6.8,7.5,7.1,6.3,6,5.6,6.3,6.7,7.5,6.7,5.8,4.1,2.7,1.7,1.7,78.6,,,,,,361370,18445,18460,20891,23152,25930,23619,21480,21651,19098,22435,24465,25960,26534,21695,16896,11529,7711,11419,290862,41.8,,,,,,5.1,5.1,5.8,6.4,7.2,6.5,5.9,6,5.3,6.2,6.8,7.2,7.3,6,4.7,3.2,2.1,3.2,80.5,,,,,
"Alamogordo, NM",66804,4421,4511,4120,4076,5357,5309,4725,4051,3462,3288,3789,4487,3727,3718,2807,2277,1388,1291,51360,36.2,106.7,67.5,28.8,38.7,34480,2281,2366,2039,2155,3335,3022,2554,2101,1730,1662,1823,2250,1719,1774,1404,1030,697,538,26609,34.1,,,,,,6.6,6.9,5.9,6.3,9.7,8.8,7.4,6.1,5,4.8,5.3,6.5,5,5.1,4.1,3,2,1.6,77.2,,,,,,32324,2140,2145,2081,1921,2022,2287,2171,1950,1732,1626,1966,2237,2008,1944,1403,1247,691,753,24751,38.7,,,,,,6.6,6.6,6.4,5.9,6.3,7.1,6.7,6,5.4,5,6.1,6.9,6.2,6,4.3,3.9,2.1,2.3,76.6,,,,,
"Albany, GA",147431,9417,9631,10560,10544,10460,10093,9344,9483,8027,8721,8935,9334,9449,8371,5913,4014,2753,2382,111926,37.3,90.1,66.6,26.5,40.1,69873,4755,4800,5580,5325,5151,4838,4521,4011,4036,4192,4029,4232,4386,3851,2662,1528,1143,833,51633,35,,,,,,6.8,6.9,8,7.6,7.4,6.9,6.5,5.7,5.8,6,5.8,6.1,6.3,5.5,3.8,2.2,1.6,1.2,73.9,,,,,,77558,4662,4831,4980,5219,5309,5255,4823,5472,3991,4529,4906,5102,5063,4520,3251,2486,1610,1549,60293,38.7,,,,,,6,6.2,6.4,6.7,6.8,6.8,6.2,7.1,5.1,5.8,6.3,6.6,6.5,5.8,4.2,3.2,2.1,2,77.7,,,,,
"Albany-Lebanon, OR",127216,7658,8074,7895,7719,7246,8765,8351,8065,7228,7784,7343,8751,8694,8423,5768,4193,2321,2938,98635,39.9,97.3,69.6,31.5,38.1,62740,3858,4348,3816,3910,3687,4393,4234,3920,3641,4001,3468,4281,4201,4395,2400,2115,1078,994,48292,38.9,,,,,,6.1,6.9,6.1,6.2,5.9,7,6.7,6.2,5.8,6.4,5.5,6.8,6.7,7,3.8,3.4,1.7,1.6,77,,,,,,64476,3800,3726,4079,3809,3559,4372,4117,4145,3587,3783,3875,4470,4493,4028,3368,2078,1243,1944,50343,40.6,,,,,,5.9,5.8,6.3,5.9,5.5,6.8,6.4,6.4,5.6,5.9,6,6.9,7,6.2,5.2,3.2,1.9,3,78.1,,,,,
"Albany-Schenectady-Troy, NY",880766,45623,47706,48141,60279,67201,57848,56317,55528,49341,54976,60653,63491,59712,49901,39845,24753,17769,21682,708415,40.2,95.7,58.8,27.8,31.1,430741,23358,24384,24745,30695,33694,29587,28338,27207,24732,27063,29434,31115,28658,23209,18883,11520,6962,7157,342822,38.9,,,,,,5.4,5.7,5.7,7.1,7.8,6.9,6.6,6.3,5.7,6.3,6.8,7.2,6.7,5.4,4.4,2.7,1.6,1.7,79.6,,,,,,450025,22265,23322,23396,29584,33507,28261,27979,28321,24609,27913,31219,32376,31054,26692,20962,13233,10807,14525,365593,41.5,,,,,,4.9,5.2,5.2,6.6,7.4,6.3,6.2,6.3,5.5,6.2,6.9,7.2,6.9,5.9,4.7,2.9,2.4,3.2,81.2,,,,,
"Albemarle, NC",62050,3372,3794,3776,3949,3608,4153,3679,3332,3644,4162,4326,4336,4177,3808,3096,1813,1542,1483,48586,42,99.9,68.4,31.9,36.5,31014,1709,2135,1921,2040,1906,2192,1858,1433,2106,2201,2169,2042,2051,1886,1406,759,622,578,23939,40.7,,,,,,5.5,6.9,6.2,6.6,6.1,7.1,6,4.6,6.8,7.1,7,6.6,6.6,6.1,4.5,2.4,2,1.9,77.2,,,,,,31036,1663,1659,1855,1909,1702,1961,1821,1899,1538,1961,2157,2294,2126,1922,1690,1054,920,905,24647,43.4,,,,,,5.4,5.3,6,6.2,5.5,6.3,5.9,6.1,5,6.3,6.9,7.4,6.9,6.2,5.4,3.4,3,2.9,79.4,,,,,
"Albert Lea, MN",30465,1728,2022,1790,1711,1421,1660,1756,1581,1710,1720,2009,2403,2204,1958,1534,1090,988,1180,23784,44.5,99.1,78.8,39.6,39.2,15161,871,920,1019,913,692,804,901,845,806,909,1078,1159,1148,954,777,565,458,342,11778,43.5,,,,,,5.7,6.1,6.7,6,4.6,5.3,5.9,5.6,5.3,6,7.1,7.6,7.6,6.3,5.1,3.7,3,2.3,77.7,,,,,,15304,857,1102,771,798,729,856,855,736,904,811,931,1244,1056,1004,757,525,530,838,12006,45.3,,,,,,5.6,7.2,5,5.2,4.8,5.6,5.6,4.8,5.9,5.3,6.1,8.1,6.9,6.6,4.9,3.4,3.5,5.5,78.5,,,,,
"Albertville, AL",96137,6725,5993,7166,6409,5522,6158,5648,5285,6024,6046,6287,6560,5817,5268,4453,3230,1993,1553,72114,39.2,97.5,72.9,29.7,43.2,47458,3416,3178,3620,3392,2890,3148,2898,2577,3049,3029,3104,3129,2881,2334,2087,1700,657,369,35079,36.8,,,,,,7.2,6.7,7.6,7.1,6.1,6.6,6.1,5.4,6.4,6.4,6.5,6.6,6.1,4.9,4.4,3.6,1.4,0.8,73.9,,,,,,48679,3309,2815,3546,3017,2632,3010,2750,2708,2975,3017,3183,3431,2936,2934,2366,1530,1336,1184,37035,40.6,,,,,,6.8,5.8,7.3,6.2,5.4,6.2,5.6,5.6,6.1,6.2,6.5,7,6,6,4.9,3.1,2.7,2.4,76.1,,,,,
